Year,Month,Day,Rain(mm),PET(mm)
2000,4,25,0,5.005187344
2000,4,26,0,5.904830994
2000,4,27,0,6.228541449
2000,4,28,0,5.315314236
2000,4,29,0,4.226255498
2000,4,30,0,4.229607243
2000,5,1,0,5.179504616
2000,5,2,0,5.844808912
2000,5,3,0,6.227086267
2000,5,4,0,6.849991527
2000,5,5,0,4.481905959
2000,5,6,0,4.739987422
2000,5,7,0,4.664707065
2000,5,8,0,3.961948679
2000,5,9,0,5.744794955
2000,5,10,0,7.123307552
2000,5,11,0,7.583688387
2000,5,12,0,7.04449442
2000,5,13,0,6.973388194
2000,5,14,0,6.699582828
2000,5,15,0,6.315921611
2000,5,16,0,5.803699669
2000,5,17,0,6.465563084
2000,5,18,0,7.336656649
2000,5,19,0,4.783118266
2000,5,20,0,5.240503202
2000,5,21,0,6.495785083
2000,5,22,0,6.649678182
2000,5,23,0,5.686473251
2000,5,24,0,5.841546474
2000,5,25,0,6.482796767
2000,5,26,0,5.52846309
2000,5,27,0,5.600217042
2000,5,28,0,6.13524971
2000,5,29,0,7.217877358
2000,5,30,0,7.288864559
2000,5,31,0,7.663603183
2000,6,1,0,7.113614217
2000,6,2,0,6.626990203
2000,6,3,0,5.535870527
2000,6,4,0,5.361333014
2000,6,5,0,5.616162312
2000,6,6,0,5.99154696
2000,6,7,0,5.623026865
2000,6,8,0,6.002074861
2000,6,9,0,6.30777085
2000,6,10,0,7.009492278
2000,6,11,0,7.960514759
2000,6,12,0,8.091515207
2000,6,13,0,8.759774358
2000,6,14,0,9.219546733
2000,6,15,0,8.475254922
2000,6,16,0,8.097190399
2000,6,17,0,8.238659383
2000,6,18,0,7.722598422
2000,6,19,0,5.728090009
2000,6,20,0,6.121534483
2000,6,21,0,6.563249184
2000,6,22,0,6.408778331
2000,6,23,0,6.449966299
2000,6,24,0,6.65463493
2000,6,25,0,7.628409345
2000,6,26,0,6.861638578
2000,6,27,0,6.662262561
2000,6,28,0,7.325757222
2000,6,29,0,7.860148431
2000,6,30,0,7.579355589
2000,7,1,0,7.404046785
2000,7,2,0,6.923321162
2000,7,3,0,7.253880562
2000,7,4,0,7.194441989
2000,7,5,0,8.366813918
2000,7,6,0,8.783017757
2000,7,7,0,9.32035932
2000,7,8,0,8.805943275
2000,7,9,0,8.286739342
2000,7,10,0,8.018183608
2000,7,11,0,8.237054665
2000,7,12,0,6.948713477
2000,7,13,0,7.548334523
2000,7,14,0,8.738501149
2000,7,15,0,7.279121448
2000,7,16,0,6.677080971
2000,7,17,0,7.226125868
2000,7,18,0,6.184589109
2000,7,19,0,6.14595511
2000,7,20,0,6.977299679
2000,7,21,0,7.463796839
2000,7,22,0,7.656333975
2000,7,23,0,6.289666931
2000,7,24,0,6.37149536
2000,7,25,0,6.765277847
2000,7,26,0,7.155524671
2000,7,27,0,7.471864766
2000,7,28,0,8.206420907
2000,7,29,0,8.120268005
2000,7,30,0,8.83753873
2000,7,31,0,9.232940096
2000,8,1,0,6.717206008
2000,8,2,0,6.227503868
2000,8,3,0,7.173028145
2000,8,4,0,6.940856625
2000,8,5,0,6.152483574
2000,8,6,0,6.277010486
2000,8,7,0,6.120266512
2000,8,8,0,6.50222598
2000,8,9,0,6.828871549
2000,8,10,0,6.417193879
2000,8,11,0,6.3021882
2000,8,12,0,6.448612608
2000,8,13,0,5.440468754
2000,8,14,0,6.251979868
2000,8,15,0,5.484103998
2000,8,16,0,5.849350348
2000,8,17,0,6.323525667
2000,8,18,0,5.860219927
2000,8,19,0,6.095566278
2000,8,20,0,5.767592993
2000,8,21,0,6.511181737
2000,8,22,0,5.850849506
2000,8,23,0,6.459267462
2000,8,24,0,6.36879088
2000,8,25,0,5.836660809
2000,8,26,0,6.869733479
2000,8,27,0,6.225481413
2000,8,28,0,5.930079223
2000,8,29,0,5.759929101
2000,8,30,0,5.707933908
2000,8,31,0,5.108006951
2000,9,1,0,6.48244385
2000,9,2,0,5.638856786
2000,9,3,0,6.941346506
2000,9,4,0,5.316755218
2000,9,5,0,5.3148108
2000,9,6,0,6.141301371
2000,9,7,0,5.875278548
2000,9,8,0,5.070115061
2000,9,9,0,5.595061855
2000,9,10,0,5.890156455
2000,9,11,0,5.762375548
2000,9,12,0,5.671297643
2000,9,13,0,4.708861305
2000,9,14,0,3.976504355
2000,9,15,0,4.971583439
2000,9,16,0,4.942735469
2000,9,17,0,4.506216461
2000,9,18,0,4.739866796
2000,9,19,0,4.966462963
2000,9,20,0,6.052088028
2000,9,21,0,4.941052309
2000,9,22,0,5.419506613
